author_id,alternative_name_seq,alternative_name
5031427355,4,Dani`ele Fournier‐Prunaret
5080989349,1,Савченко Елизавета Викторовна
5035357636,5,C. Cheng
5102978443,1,Y Fujita
5017417326,2,Peter Olanrewaju Awojobi ‐
5071303674,1,W Clifton
5042128985,2,Marvin Bressler
5090085661,1,Hilda Trujillo
5061073837,3,Mary Miller
5041583669,1,Q L Ye
5093463773,1,Tabet Almeida Janine
5009902803,5,Лугова М.С.
5095595685,1,Bei Der Verhüttung Von Erzen Fallen Stäube
5055649144,1,Antonine Balteau
5062213533,4,Vitaly D. Sattarov
5024063211,1,K. Lautmann
5071979633,1,A. N. Combes
5043992154,1,金埈五
5004937171,2,T. Henk
5104229902,1,Lars Jahnke
5000418012,9,J. H. Schellens
5077534429,2,Sanket Gupte
5105275862,1,V. Re
5026862336,10,Blanco-Marchite C
5060996294,1,Teshaboyev Alixo'ja Ibragimovich
5057730404,1,Rory Geyer
5050656665,1,Manfred Giese
5063771290,1,Eva Bonita
5045641823,1,Вакуленко Алексей Михайлович
5082117007,1,Job Pantjes
5014109077,1,A.E. Babich
5043862339,1,Susan Bachrach
5033852515,1,Alain Caudet
5103575300,2,Ike Campomayor Dela Peña
5053396599,1,甲斐嘉晃
5007098721,1,M Nosik I Rymanova K Ryzhov J Yarovaya
5075103482,1,Marie Emanuel Robyn
5091815140,1,Ion Chira
5076190445,1,太美夫 及川
5074509405,1,A.C. Liggett
5079002106,2,Maki Taniguchi
5075968714,1,C Adolfo Salazar
5014917215,1,Jieli Sun
5071427625,1,Sumtsov Bm
5005111127,1,Salman Alfarisi
5048596236,2,Zs. Bodnar
5094162068,1,威 魏
5086559869,3,Aisling P. Kelly
5001210404,1,Emilie Delongeas‐Brand
5010132066,1,Ganyuan Xie
5037984400,4,Adnan Mujanovic
5027897630,1,光洋 井上
5020257631,1,Muhammad Nabil Ezra
5074401799,1,Bobby Santosa
5062128549,1,D. Febrinanda
5023205759,3,S. Darwish
5053075710,1,Ю В Данильченко
5011672402,2,W. Bakker
5087439193,1,P. Nyhuis
5066152116,1,Matvey Chlenov
5004391344,1,A. Maccianti
5069032545,1,Elena Strihavkova
5082340425,1,Claire Sotto‐Jeauneau
5043290267,2,Pascal Morenton
5062584533,2,A. Chicote
5102605200,1,Sarah Porto Valle
5036972283,1,T. P. Vogl
5053713150,6,N T Nhu Ngoc
5103742132,1,Noni Rosyani Rosli
5053805603,1,O.P. Fray Manuel Rivero
5104545700,3,Andrew L. Reeves
5040847481,4,Tatsuya. Yasunaga
5050993558,1,P. Breokmann
5090769952,1,O V Kondrat'eva
5000147401,6,Christopher A. Knight
5006877691,8,Xiao Tian Liang
5020651553,1,潤 長瀬
5058626636,29,T. Hartmann
5060862556,2,О. A. Chukhno
5082539559,1,Gerald J. Hooker
5049483688,1,E. Shadmehr
5003755493,2,Nadezhda I. Ignatova
5085457457,2,R Lorraine
5088035816,1,Elizareth Carreon
5069044754,2,Ana Margarida Miguel F. Nogueira
5082774595,1,S.K. Bhandari
5067174923,1,董悦琪
5081278737,1,Y. Liu
5010694710,1,Chris S. Page
5081666031,1,Gillian Gorfine
5004307215,1,Marja Janusson
5008211986,1,二朗 片塩
5070308162,1,Linda H. Huebert Hecht
5058711232,1,P. Rink
5084256471,2,Lu Da
5009309071,1,M. Jeanne Peterson
5095925652,1,Uknbn
5002000144,1,رقیه فصیحی
5006023978,1,左利平
5043733577,2,Halima White
5078752779,1,Reza Khazaiee
5058383342,1,Bong H.Kwon
5061753375,1,I. G. Maqueda
5052945477,1,Kaduko SAKAI
5030436497,6,O.O.C Uche
5054039641,1,Patricia E. Kane
5097622322,1,Zofia Król
5083652330,2,I. H. Hoover
5008489319,1,María E. Palomar‐Morales
5018169850,3,U. S. Choi
5065246139,2,Philip McBrayer
5092281999,1,Matteo Pedrinazzi
5056322266,1,陈培林
5032875007,3,Deb McGregor
5049620150,1,Saad. A. Hafez
5053208174,1,Lisa Pescara
5101337893,1,Gavin Heqing Yu
5061817555,1,Candy Caine
5081969264,1,VH Roos
5022531501,1,Jennifer Kamakanipakolonahe`okekai Hashimoto
5049490705,1,大本教学研鑽所
5051573524,1,Kushairi Sayed
5058480476,6,A. E. Velasquez
5082658174,1,Padmapriya Alagappan
5078810954,1,神田鷹久
5037581616,1,Alanezi Adnan Alhathal
5009961395,1,Carlo Honrado
5081272198,1,鈴川 由美
5045569401,1,G. Röhrlein
5080481450,1,Pedro Lopes dos Santos
5066042594,1,穆丽红
5104823008,1,W. E. B. Du Bois
5078517962,1,本田賢治
5055328720,1,P. De Juana
5003250062,3,Ganesh Kamath
5098431840,1,Claudia Rangel
5024691041,1,Hst Go Team
5081849557,1,陽二 芦塚
5089569260,7,Y. E. Greish
5105566202,1,R. C. W. Henderson
5102063921,1,Suresh I. S. Rattan
5105224442,1,Mark T. Berger
5019640303,1,Yves Aubin
5035191435,1,杨黔龙
5069228774,1,Alla Boreyko
5054720786,1,Anri R. CHEDIYA
5058074967,1,芳樹 箱山
5080965667,2,Kebede H. Begna
5041846576,1,英夫 丹羽
5029555586,1,Angus J. Thompson
5009886764,1,Shiavananda Nayaka
5011233093,2,Caio Massari
5064818685,1,Xuikang Wang
5098758235,1,Sujit M. Shivsharan
5041175867,1,Shinji SUIDO
5064679392,5,R. Pérez‐Aparicio
5008359356,2,M. Brokelmann
5090134018,2,Kuo‐Chin Chan
5026366663,1,Vytautas Motiejus Bubnelis
5017662394,1,みな子 山口
5037240694,15,María A Martínez Trujillo
5046378711,2,Cheryl A. Arcinue
5101581328,6,Rachael. Marsh
5026279421,1,Tsukasa Ikeda
5020687624,1,Arturo Juárez‐Jacobo
5038686991,1,H.S. Park
5020884217,1,I. Lee
5008611914,2,M. Nezamidoust
5021813187,1,T. Bugya
5058278178,1,I. D. Tasuev
5082890962,1,藤井伸二
