institution_id,associated_institution_seq,associated_institution_id,institution_relationship_type_id
66217341,1,4210154430,4
4210137409,13,4210133339,1
1302211766,6,2800528635,1
4210094118,3,4210122374,1
48825208,2,4210139497,1
118019719,20,4210112136,1
4210131450,1,4210091177,3
4210116128,1,162346809,3
1313323035,41,4210147539,1
4210126779,2,4210162320,1
4210105379,6,4210146423,1
154526488,17,4210088138,1
2802302806,1,1294586568,3
4210090658,1,138211613,3
4210087173,1,4210097790,4
889804353,6,4210151956,1
4210158722,2,39804081,3
4210099008,2,4210104216,1
90344618,22,4210110201,1
4210112722,1,4210093752,1
84884186,3,2801924861,4
4210111578,3,4210135663,1
2802056588,2,4210166444,1
4210142724,7,4210110037,1
4210127669,1,66760702,3
4210127390,4,4210098389,1
134560555,34,4210138343,4
98251732,7,2801259263,4
23625684,3,2799941903,1
4210142680,1,4210131050,1
2802875218,1,126859394,3
4210138636,4,1299501804,1
1319259000,1,1330347796,3
1286959531,17,4210104502,4
100930933,1,181231927,3
4210138940,13,4210143138,1
4210120169,2,26080491,4
1313323035,21,4210131812,1
1332092204,1,902798049,1
4210103063,5,4210133230,1
4210110845,2,2801357902,3
2799853436,10,145311948,4
4210090250,2,3019204325,3
22248866,2,4210103046,1
167573124,2,4210139167,1
2800132241,1,92008406,4
4210125891,1,63966007,3
4210117499,5,32971472,4
4210111849,1,4210126300,3
4210108721,2,4210112894,1
183519381,8,4210094824,4
4210124355,1,4210150035,1
88155538,1,4210135003,4
135140700,5,4210109087,4
3144123604,2,2800944796,1
4210090336,1,129923673,3
4210145913,1,4210095849,3
4210122644,1,202391551,3
4210105471,1,4210109164,3
84884186,6,4210089915,4
176337269,5,4210142081,1
177898655,1,2801273398,3
1310264347,1,180949307,4
168499898,1,4210140472,4
2800387288,15,2801350356,1
4210092492,1,4210128300,3
2801119069,1,4210132746,3
4210110412,10,4210109499,1
4923324,81,4210154327,1
4210134955,1,277688954,3
32971472,12,1323778983,4
4210155236,43,4210100607,1
21376657,1,4210087938,4
4210086343,3,142476485,3
4210165642,1,1342911587,3
2800201399,12,2801120601,1
