work_id,keyword_seq,keyword_id,score
2582709531,3,19624,0.598395
2600488946,3,35575,0.502336
3145273404,6,33289,0.509291
2464791565,4,19926,0.522177
1979125091,1,7776,0.8872447
4242117918,2,49657,0.455157
3103871478,3,16407,0.521445
2566890741,3,36167,0.54218
2906829481,3,50868,0.5058548
2076775546,5,760,0.603286
2942790770,3,12835,0.632096
1502203225,1,4018,0.8875947
4248318730,1,34869,0.52283555
2981608917,4,57891,0.53851753
2347934406,3,31195,0.553772
2387496967,2,19437,0.511943
2277547864,1,45637,0.576283
1982539302,3,54943,0.510279
2968147218,4,1305,0.481304
1995512713,1,6795,0.840184
4200436814,1,24670,0.9156528
3013141453,2,63039,0.66352034
1982731197,2,49559,0.91568017
2983849051,1,67637,0.610052
4390699739,5,36368,0.577636
4392095768,1,1812,0.62333655
4361223851,2,63216,0.5316518
2610585867,1,5312,0.5270836
2588879375,2,57440,0.498054
1543615464,2,42570,0.542195
2089078918,1,34759,0.67490226
381387716,1,6397,0.442667
3021749727,4,15030,0.53006
2379136088,1,8300,0.69414616
2229421449,1,7166,0.608882
2096323327,2,56268,0.454779
2088649781,1,23951,0.617715
2750881827,7,48739,0.41829076
2056721224,2,66927,0.62095183
2471631322,2,21284,0.549028
2053883117,3,40707,0.59874487
183781376,3,54885,0.543814
2115731369,2,19036,0.7312638
3201637869,2,7846,0.636621
2030577150,6,55640,0.5772987
2050307544,1,66544,0.9830736
2921638674,3,46777,0.555799
2972823578,6,61444,0.515439
227801607,2,30551,0.540744
2933069160,1,14757,0.434367
2338996770,4,12384,0.4362566
1596692620,6,62157,0.480966
2089153628,1,69103,0.678646
2120311522,3,20697,0.4133458
1270068232,2,50366,0.48686
4280651324,5,33723,0.586261
3209692956,3,6656,0.53311026
2070082627,1,45944,0.6334678
2057656028,3,26618,0.537107
2418650054,3,63654,0.623296
4255594578,2,4169,0.539518
3119966545,1,25382,0.65228
2128308035,4,51335,0.520743
4235898901,1,27545,0.9422274
3123409611,3,55206,0.44301158
2784136921,1,59716,0.6851193
4298218219,5,41651,0.503412
2370275422,2,610,0.527442
142878443,3,38660,0.421212
4231348193,5,26514,0.521113
3139619021,1,10963,0.5578959
2163322779,5,32202,0.46937943
1599839154,3,36075,0.41281033
4392055765,4,68118,0.451037
2572846826,2,2239,0.8332274
1900772474,5,282,0.4279021
2768841814,2,66096,0.4969063
2017405670,3,9147,0.529107
3124379002,1,56578,0.90721655
3081810078,1,66271,0.6916859
2515205212,3,47600,0.526532
2142968890,3,45943,0.577182
