publisher_id,publisher,hierarchy_level,parent_publisher_id,homepage_url,ror_id,openalex_id,wikidata_id,image_url,thumbnail_url,updated_date,created_date
4310320831,Q79319503,0.0,4310320831.0,https://idibe.org,,P4310320831,Q79319503,,,2024-08-26,2023-01-01
4310318257,Social Sciences Research Society,0.0,4310318257.0,,,P4310318257,Q52637032,,,2024-08-26,2023-01-01
4320800784,NACE International,0.0,4320800784.0,http://www.nace.org,,P4320800784,Q4044808,,,2024-08-30,2023-02-15
4310313997,Echter Verlag,0.0,4310313997.0,http://www.echter.de,,P4310313997,Q1281126,,,2024-08-20,2023-01-01
4310312712,Plekhanov Russian Economic University,0.0,4310312712.0,http://www.rea.ru/eng/ginfo.shtml,04pbtsc74,P4310312712,Q2004114,"https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Third housing of Plekhanov University of Economics in Moscow, front view.JPG","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Third housing of Plekhanov University of Economics in Moscow, front view.JPG&width=300",2024-08-30,2023-01-01
4310312224,Entomological Society of Brazil,0.0,4310312224.0,http://www.seb.org.br,02m4ddy14,P4310312224,Q29472298,,,2024-08-30,2023-01-01
4310321843,Spanish Association for Irish Studies,0.0,4310321843.0,http://aedei.es,,P4310321843,Q52662541,,,2024-08-26,2023-01-01
4310319320,WUFI,0.0,4310319320.0,,,P4310319320,Q52669344,,,2024-08-26,2023-01-01
4310321227,Cultural Association Littera Aperta,0.0,4310321227.0,,,P4310321227,Q52661246,,,2024-08-26,2023-01-01
4328136860,MARIS,0.0,4328136860.0,http://smp.edu.lr/index.html,03sd2sw82,P4328136860,,,,2024-08-30,2023-03-22
4310315002,National Nuclear Energy Agency,0.0,4310315002.0,http://www.batan.go.id,049j1tf72,P4310315002,Q4121199,,,2024-08-30,2023-01-01
4310319450,Research Institute for Knowledge Content Development & Technology,0.0,4310319450.0,http://ijkcdt.net,,P4310319450,Q52665682,,,2024-08-26,2023-01-01
4310319335,"Association of Engineering, Project, and Production Management",0.0,4310319335.0,,,P4310319335,Q52663527,,,2024-08-26,2023-01-01
4376882582,Shanghai Space Administration Eighth,0.0,4376882582.0,,,P4376882582,,,,2024-08-26,2023-05-18
4310321678,REDIAL,0.0,4310321678.0,,,P4310321678,Q1848103,,,2024-08-26,2023-01-01
4310317468,Kozminski University,0.0,4310317468.0,https://www.kozminski.edu.pl,033wpf256,P4310317468,Q2822255,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Akademia Leona Kozminskiego 2014 01.JPG,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Akademia Leona Kozminskiego 2014 01.JPG&width=300,2024-08-30,2023-01-01
4310314180,Q60335304,0.0,4310314180.0,http://18stoleti.cz,,P4310314180,Q60335304,,,2024-08-26,2023-01-01
4310318318,Ozge Uysal Şahin,0.0,4310318318.0,,,P4310318318,Q52619196,,,2024-08-26,2023-01-01
4310320873,Libyan International Medical University,0.0,4310320873.0,http://www.limu.edu.ly,04ftkte05,P4310320873,Q3648090,,,2024-08-30,2023-01-01
