publisher_id,alternative_name_seq,alternative_name
4310320466,2,OMICSパブリッシング・グループ
4310320468,1,OHP
4310320470,4,賓夕凡尼亞州立大學出版社
4310320476,1,ロウマン&リトルフィールド
4310320476,5,"Rowman & Littlefield Publishers, Inc."
4310320476,9,朗曼與利托菲爾出版集團
4310320476,13,羅曼和利特爾菲爾德
4310320476,16,羅曼與利特菲爾德
4310320476,20,萊曼和賴特菲爾德出版社
4310320479,2,WB Saunders
4310320480,3,Scientific Research Pub. Inc.
4310320480,7,SCIRP
4310320481,1,LSE Press
4310320497,1,マイクロソック
4310320497,5,Общество микробиологии
4310320504,3,TMU
4310320504,7,دانشگاه تربیت مدرس تهران
4310320505,1,Feminist Press at the City University of New York
4310320508,1,SIAM
4310320508,5,Товариство промислової та прикладної математики
4310320508,9,工業和應用數學會
4310320508,13,產業及應用數學學會
4310320508,16,美国工业与应用数学学会
4310320510,4,UWA פבלישינג
4310320515,1,UQP
4310320517,2,多伦多大学出版社
4310320518,1,U.P. Press
4310320523,1,B. Behr's Verlag
4310320524,4,Teubnersche Verlagsbuchhandlung
4310320525,2,W.A. Herbarium
4310320527,3,Frontiers Media
4310320535,3,Acadèmia de Ciències de la Unió Soviètica
4310320535,7,Acadèmia de les Ciències de l'URSS
4310320535,11,Academia de Științe a Uniunii Sovietice
4310320535,15,Academia de Ştiinţe sociale de pe lîngă C.C. al P.C.U.S.
4310320535,18,Academia russa das ciências
4310320535,22,Academia Scientiarum Rossica
4310320535,26,Académie russe des sciences
4310320535,30,Accademia delle scienze di Russia
4310320535,33,Akademija Nauk Rossii
4310320535,37,Det sovjetiske vitenskapsakademi
4310320535,41,Pietarin tiedeakatemia
4310320535,45,Rossíiskaya akadémiya naúk
4310320535,48,Ruslands Videnskabsakademi
4310320535,52,Russiske vitenskapsakademi
4310320535,56,Ryska vetenskapsakademin
4310320535,60,SSRS mokslų akademija
4310320535,66,أكاديمية العلوم للاتحاد السوفييتي
4310320535,70,האקדמיה בסנקט פטרבורג
4310320535,74,Академия на науките на СССР
4310320535,78,Рәсәй Федерацияһы Фәндәр академияһы
4310320535,83,РФА
4310320535,87,ロシア帝国学士院
4310320535,91,ソヴィエト社会主義共和国連邦科学アカデミー
4310320535,95,苏联科学院
4310320535,96,ソ連科学アカデミー
4310320539,1,JUDr. František TALIÁN - FORTUNA
4310320543,3,Smithsonian Press
4310320544,2,"InnoVision Communications, LLC"
4310320547,1,テイラー&フランシス
4310320547,5,Lawrence Erlbaum
4310320547,9,Taylor & Francis
4310320547,13,Taylor & Francis集團
4310320547,16,泰勒及弗朗西斯出版公司
4310320547,20,泰勒和弗朗西斯集团
4310320547,24,泰勒與法蘭西斯出版集團
4310320552,2,Beck'sche Reihe Wissen
4310320552,6,C.H. Beck
4310320552,10,Druckerei C. H. Beck
4310320552,14,Verlag C.H.BECK oHG
4310320555,1,International Union of Crystallography
4310320555,5,האיגוד הבינלאומי לקריסטלוגרפיה
4310320556,4,rsc.org
4310320556,8,வேதியியலுக்கான அரச சங்கம்
4310320556,12,英国王立化学会
4310320557,2,Sociedad Argentina para el Estudio de los Mamíferos
4310320558,1,ケミカルアブストラクツ
4310320558,5,SciFinder
4310320559,3,"Longman, Hurst & Co., Paternoster Row, London"
4310320559,7,"Longman, Hurst, Rees, Orme, Brown, and Green"
4310320559,11,"Longmans, Green, Reader, and Dyer"
4310320559,15,לונגמן
4310320561,4,Brill Academic Publishers
4310320561,8,Brill N.V.
4310320561,12,Brill出版社
4310320561,17,E.J. Brill Academic Publishers
4310320561,21,Koninkljike Brill
4310320561,25,布里爾出版社
4310320563,1,Institute for the Study of Man Inc
4310320565,2,The Chemical Society of Japan
4310320566,1,Erich Schmidt Verlag GmbH & Co. KG
4310320571,1,Alan R. Liss
4310320571,5,A.R. Liss
4310320576,2,Państwowy Zakład Wydawnictw Lekarskich
4310320579,1,Wydawnictwo Uniwersytetu Gdańskiego
4310320583,3,化学学会
4310320590,1,UGP
4310320595,1,ジョン・ワイリー&サンズ
4310320595,5,John Wiley and Sons
4310320595,9,John Wiley & Sons Incorporated
4310320595,13,wiley.com
4310320595,16,Wiley-VCH
4310320595,20,انتشارات جان وایلی و پسران
4310320657,4,Éditions L'Harmattan
4310320657,8,L' Harmattan
4310320675,1,Johann Phillipp Haug Verlag
4310320677,2,Penerbit UKM
4310320723,1,"International Institute of Science, Technology and Education"
4310320750,1,M. Niemeyer
4310320811,4,ВЦ ЛНУ
4310320965,1,HKIE
4310320989,1,IACR
4310320990,2,elsevier.com
4310320990,6,السویر
4310321020,3,Peeters Verlag
4310321022,2,UB
4310321022,6,Universidad de Barcelona.
4310321022,10,Universite de Barcelone
4310321029,4,Euskal Herriko Unibertsitatea
4310321029,8,Universidad del País Vasco / Euskal Herriko Unibertsitatea (UPV/EHU)
4310321029,12,Universitetet i Baskerland
