author_id,author,orcid,openalex_id,scopus_id,wikipedia_url,updated_date,created_date
5048464716,А А Ивашура,,A5048464716,,,2024-05-11,2023-07-21
5017939778,Wiwin Winduri,,A5017939778,,,2024-06-12,2023-07-21
5075294770,Tigist W. Zewde,0000-0002-5431-4158,A5075294770,,,2024-08-26,2023-07-21
5054261119,H NARAYANSWAMY,,A5054261119,,,2024-06-09,2023-07-21
5028240537,Abimaelson Santos,0000-0001-5178-4552,A5028240537,,,2024-06-10,2023-07-21
5009816558,K. Bonhoeffer,,A5009816558,,,2024-05-13,2023-07-21
5017758997,Marco Dalla Costa,,A5017758997,,,2024-06-13,2023-07-21
5026729547,Ahmed S. Abdelkhalek,0000-0003-2198-0549,A5026729547,,,2024-08-25,2023-07-21
5050958025,謙吾 入江,,A5050958025,,,2024-05-08,2023-07-21
5029714776,Isabelle Baltenweck,0000-0002-4147-5921,A5029714776,,,2024-08-19,2023-07-21
5061188946,Ixel Hernandez,,A5061188946,,,2024-06-29,2023-07-21
5085935056,John B. Larson,,A5085935056,,,2024-06-13,2023-07-21
5025397120,Mashal Manzoor,,A5025397120,,,2024-06-10,2023-07-21
5020860852,Megan Mead,,A5020860852,,,2024-08-24,2023-07-21
5094334157,dj-depressive,,A5094334157,,,2024-05-18,2024-04-03
5068069556,Gleydson Wellington de Sousa Monção,,A5068069556,,,2024-06-09,2023-07-21
5017836165,C. Siqueira-Mello,,A5017836165,,,2024-08-26,2023-07-21
5079775830,宋恕,,A5079775830,,,2024-05-13,2023-07-21
5062570675,Marina Röewekamp,,A5062570675,,,2024-08-19,2023-07-21
5106045417,Richards Eg,,A5106045417,,,2024-08-16,2024-08-02
5086166216,Annabelle Limballe,0000-0001-8246-8894,A5086166216,,,2024-08-24,2023-07-21
5060081488,Nelson Taborda,0000-0003-4309-0360,A5060081488,,,2024-08-03,2023-07-21
5050299762,Mita Datta,,A5050299762,,,2024-06-12,2023-07-21
5018783776,何智文,,A5018783776,,,2024-05-11,2023-07-21
5067474898,J.P. Michel,,A5067474898,,,2024-06-12,2023-07-21
5103780871,Italo Fernandez,,A5103780871,,,2024-08-24,2024-07-14
5078798446,Mira Ariyanti,0000-0003-0107-1102,A5078798446,57195770148.0,,2024-08-20,2023-07-21
5002049436,Shri' Jerrene Stroud,,A5002049436,,,2024-06-09,2023-07-21
5072133436,Don Perata,,A5072133436,,,2024-08-22,2023-07-21
5059972661,Noboru Ogawa,0009-0005-3159-3210,A5059972661,,,2024-08-19,2023-07-21
5076182924,Kenan Eliuz,,A5076182924,,,2024-08-01,2023-07-21
5018723774,HU Shun-ji,,A5018723774,,,2024-06-06,2023-07-21
5068705385,和成 梅山,,A5068705385,,,2024-05-08,2023-07-21
5079366759,K. Zeraatkari,,A5079366759,,,2024-06-11,2023-07-21
5026905352,A. A. Ахметов,,A5026905352,,,2024-06-10,2023-07-21
5066625748,豊 越智,,A5066625748,,,2024-05-09,2023-07-21
5007346576,A. Berger,,A5007346576,,,2024-05-07,2023-07-21
5079299590,Fajar Ronggo Aseptyo,,A5079299590,,,2024-08-21,2023-07-21
5027639959,Clemencia Uribe Restrepo,,A5027639959,,,2024-08-20,2023-07-21
5087616250,Iseki Tooru,,A5087616250,,,2024-05-08,2023-07-21
5047222757,D J Tate,,A5047222757,,,2024-08-19,2023-07-21
5022174078,Julio Liébana Leirós,,A5022174078,,,2024-06-13,2023-07-21
5079533369,Novika Nurul Andriana,,A5079533369,,,2024-06-10,2023-07-21
5037069611,Rᆞ라뚜렐르,,A5037069611,,,2024-05-14,2023-07-21
5069071443,Sigeto Nakamura,,A5069071443,,,2024-06-08,2023-07-21
5081227887,蓉子 山根,,A5081227887,,,2024-05-08,2023-07-21
5087002796,Pia Chin Koh,,A5087002796,,,2024-06-11,2023-07-21
5083005954,Robert Lawrence Herrmann,,A5083005954,,,2024-06-07,2023-07-21
5089114208,Eun J,,A5089114208,,,2024-08-17,2023-07-21
5023467885,R SKass,,A5023467885,,,2024-06-07,2023-07-21
5084369649,QU Linli,,A5084369649,,,2024-06-05,2023-07-21
5090335240,崔富强,,A5090335240,,,2024-05-14,2023-07-21
5020543174,신명화,,A5020543174,,,2024-05-09,2023-07-21
5096448767,等 北崎,,A5096448767,,,2024-05-15,2024-05-07
5096289611,聡一郎 上野,,A5096289611,,,2024-06-11,2024-05-06
5083818625,Minqu Fan,,A5083818625,,,2024-08-20,2023-07-21
5041690279,Rachel E. Witcher,,A5041690279,,,2024-08-12,2023-07-21
5089232180,郑建明 Zheng Jianming,,A5089232180,,,2024-06-06,2023-07-21
5037831394,久義 望月,,A5037831394,,,2024-06-08,2023-07-21
