concept_id,umls_aui_seq,umls_aui
2909346784,8,A7186130
2910727661,6,A17919064
2911042016,3,A3031858
2909856348,12,A22909704
2911059045,5,A23871478
2909170305,2,A2789844
2909837681,3,A0466804
2909958923,4,A27933436
2909819767,14,A27876142
2909478654,6,A7614985
2910491791,2,A13925996
2911108036,1,A0078233
2908799130,3,A25765864
2909321672,2,A0266330
2909420578,7,A23497716
2909562476,7,A3211204
2910751579,1,A27452773
2911074991,4,A27923057
2910061293,5,A17974080
2911002082,1,A1269378
2908692415,7,A23013972
2909255381,21,A8438225
2908670167,3,A18642767
2910162288,2,A0807749
2909638373,4,A6838618
2909031412,1,A26646690
2909929115,6,A23372168
2909073510,5,A2654574
2909456546,9,A2905956
2910947712,2,A13652243
2909129545,4,A18048516
2910765934,7,A18064736
2909307559,3,A18602658
2911006864,1,A7653984
2909335157,1,A18642919
2909445476,16,A22959299
2909760446,5,A27381766
2909129861,2,A18671327
2909698591,9,A24369567
2909038510,3,A18582350
2910040839,12,A27161815
2909472238,1,A27789024
2909914741,1,A1957352
2909052798,1,A0600227
2909855057,6,A0265285
2909801847,8,A18540157
2910815756,3,A23872391
2909440837,5,A13728510
2908551600,3,A0415124
2909698591,5,A18578839
2908525694,1,A0082764
2910181907,13,A23890121
2909347729,5,A3825574
2909941344,1,A0053263
2909905686,13,A28255816
2909951594,2,A0008133
2909423643,21,A8438656
2909577894,16,A2883075
2909532165,8,A17884624
2908967332,17,A27410396
2908698914,4,A1169980
2908642939,22,A2885004
2911106879,2,A22796116
2910429286,11,A25696394
2911115442,15,A2873427
2908607901,7,A28445989
2909201322,3,A0983176
2910105242,1,A0756309
2910307670,2,A13016391
2910151070,6,A7562636
2909525131,1,A0686112
2910198813,8,A18050832
2910535624,3,A10335281
2910866450,4,A26513432
2908646376,1,A17894078
2910059622,2,A0007334
2909621147,2,A23003882
2909241879,4,A0443764
2909828192,6,A17862862
2910976051,4,A10335190
2909799055,10,A8256726
2910066949,1,A0411306
