work_id,mesh_seq,mesh_descriptor_ui,mesh_qualifier_ui,is_major_topic
1569805234,7,D050053,Q000037,1
2809884208,11,D002908,,0
3082986608,12,D005865,,0
2404134672,10,D012828,,0
2738998639,23,D009687,,0
2128282519,8,D007580,Q000276,0
4294168991,7,D011108,,0
2412448553,8,D014931,,0
2412587540,1,D009965,,1
2165963364,19,D015398,,0
2412744797,12,D007036,Q000009,0
2405230257,4,D007883,,0
2341852238,16,D006801,,0
2077933487,20,D012333,,0
2016914739,8,D002408,,0
2122204878,9,D003090,Q000502,0
2328820304,12,D013240,,0
2058375089,14,D008875,,0
2412701267,10,D004353,,0
2090327076,1,D015438,Q000208,1
2891565870,2,D006333,Q000628,1
2055122372,10,D002908,,0
2885404939,1,D003880,,1
1484096248,6,D000199,Q000378,0
2790173809,23,D008545,Q000453,0
2091884888,19,D011994,Q000235,0
2084185495,13,D008437,Q000601,0
2102931513,1,D002321,,1
2014954059,3,D007593,Q000150,1
2417925852,5,D005160,Q000191,0
2037188835,2,D006306,,1
1983477964,9,D004798,Q000235,0
2031992884,9,D013909,,0
2310303116,22,D018281,Q000235,0
2018807786,7,D000911,Q000276,0
1996096162,46,D051381,,0
2266248616,3,D000305,,0
2131862838,12,D003561,Q000008,0
2048029832,1,D008954,,1
4220797843,5,D003620,Q000494,0
3196536114,7,D005260,,0
1581436044,10,D005885,Q000473,0
2012957301,33,D019717,,0
2401382160,1,D013956,,1
2009038823,10,D006973,Q000150,0
2175593965,10,D002289,Q000235,0
771282873,12,D014513,,0
1971190931,14,D005260,,0
2123537399,2,D015207,Q000601,1
1982489954,9,D002314,,0
71911655,7,D000576,,0
2268402659,14,D001201,,0
2163896955,12,D001426,Q000032,0
2802247024,27,D008175,,0
1984836022,3,D008264,Q000276,1
2921299509,1,D061067,Q000627,1
971748478,4,D001774,,0
4297546872,13,D024341,,0
2109731804,4,D000319,Q000494,0
2764160990,12,D018427,,0
2554700777,8,D063646,,0
2997724130,1,D003695,Q000639,1
1985381250,22,D011247,,0
1981662804,37,D009504,Q000473,0
2015872328,3,D006801,,0
2001646928,3,D002648,,0
2418682177,1,D003520,Q000494,1
1984696016,9,D004790,,0
2041900485,17,D050760,Q000378,0
1592444035,30,D018655,,0
2044263794,5,D000368,,0
26088505,5,D000328,,0
1578437862,9,D058669,Q000008,0
2147093981,15,D008297,,0
2092852653,5,D000818,,0
2002449187,24,D016212,,0
2800276374,14,D008297,,0
2424658505,9,D008297,,0
