institution_id,funder_seq,funder_id
1297540436,1,4320308604
24354313,3,4320335237
4210166348,1,4320328104
4210097227,1,4320315179
4210137620,1,4320320473
83579964,1,4320327742
41461413,1,4320324896
4210141376,1,4320338064
4210139737,1,4320337434
171256487,1,4320328957
2799538093,1,4320320088
108403487,1,4320322637
1341640284,1,4320331116
4210092649,1,4320309881
4210111707,1,4320328391
2799943424,1,4320326579
4210142964,1,4320306438
4210098448,1,4320323040
4210130900,1,4320323928
51579864,1,4320309632
4210138755,1,4320327916
26489229,1,4320333027
881427289,1,4320322124
4210129499,1,4320311054
1311289386,2,4320332209
3125470973,1,4320319219
66005833,1,4320315545
4210150596,1,4320324188
170897317,2,4320308559
2799681489,1,4320323494
4210163295,1,4320337380
1312846040,1,4320327238
4210121107,1,4320310892
45129253,9,4320335115
4210102265,1,4320308081
4210145953,1,4320307052
51826884,1,4320322341
27504731,1,4320311883
95457486,3,4320311062
91047523,1,4320311963
205783295,5,4320332416
4210114742,1,4320321785
4210141760,1,4320326005
131528713,1,4320325098
147554453,1,4320311960
4210154423,1,4320311213
4210146192,1,4320323446
129801699,1,4320320450
147481903,1,4320323128
63548447,1,4320322369
117197279,1,4320323130
4210147447,1,4320309856
4210163254,1,4320308706
4210091327,1,4320327897
1339903725,1,4320309978
1284637955,1,4320323670
2802429123,1,4320308520
4210127414,1,4320313460
4210114595,1,4320316428
19970341,1,4320313005
2799743864,1,4320308564
90259746,1,4320330323
4210087027,1,4320308875
119443389,1,4320309134
4210112048,1,4320319910
4210128234,1,4320332271
4210111501,1,4320324880
4210095129,1,4320317735
4210099290,1,4320312849
4210121102,1,4320321753
882009436,1,4320310109
4210124831,1,4320321748
4210133063,1,4320309459
4210130760,1,4320306580
2802872610,1,4320311494
4210094864,1,4320337567
4210142177,1,4320324320
4210126208,1,4320306330
1320721754,2,4320310283
36053171,1,4320332936
4210134243,1,4320310906
161548249,1,4320321597
4210104151,1,4320318383
57629906,1,4320330006
